COD_EMPRESA;COD_EMPLEADO;NIF;APELLIDOS_NOMBRE;FECHA_ALTA;FECHA_BAJA;CENTRO
0087;00014;39887412K;SERRA MASIP, JOAN;2017-03-01;;VILANOVA
0087;00021;47120365P;EL AMRANI, YOUSSEF;2019-06-10;;VILANOVA
0087;00033;46990117D;PEÑA CORTÉS, MIGUEL ÁNGEL;2021-02-15;;GRANOLLERS
0087;00028;38774521M;LÓPEZ TENA, RUBÉN;2020-09-01;2026-07-31;VILANOVA
0112;00003;77441209B;ROVIRA CASAS, JORDI;2015-09-14;;MANRESA
0112;00007;46228190T;SOLÉ PUJADAS, MONTSE;2018-04-02;;MANRESA
0112;00011;Y2887410S;DIALLO, MAMADOU;2022-11-07;;MANRESA
0045;00002;43117905V;GARCÍA RUIZ, MARÍA;2019-01-08;;SOLSONA
0045;00009;45882013H;GARCÍA RUIZ, MARÍA;2023-03-20;;SOLSONA
0045;00004;40025518L;VENTOSA GIL, CARLA;2019-01-08;;SOLSONA
0203;00105;37992014C;CAMPS ROURA, ELISENDA;2013-06-20;;SABADELL
0203;00118;46551083N;OUAZZANI, HICHAM;2021-05-04;;SABADELL
0203;00126;48009712R;BAENA MOLINA, SONIA;2022-09-19;;TERRASSA
0203;00131;48009712R;BAENA MOLINA, SONIA;2026-03-01;;SABADELL
0158;00006;78112340G;PUIGCERDÀ FONT, MARTA;2016-11-02;;PUIGCERDA
0158;00012;X8871203W;IONESCU, ANDREI;2021-03-15;;PUIGCERDA
0091;00051;44120987F;MARTÍN SEDANO, ROCÍO;2018-05-30;;MANRESA
0091;00058;46770124E;NDIAYE, FATOU;2020-01-13;;MANRESA
0091;00062;39004471Q;GIMENO ARÍS, PILAR;2022-06-06;;SANT FRUITÓS
0134;00002;47882301J;FERRAN LLOP, ALBERT;2020-02-17;;VIC
0134;00005;45119820Z;TORRENT BOSCH, GEMMA;2021-07-01;;VIC
0200;00157;77138923H;MAS MAS, GUILLEM;2016-10-08;;CENTRAL
0200;00294;72408620Q;LÓPEZ PRIETO, CLÀUDIA;2016-02-03;;OFICINA
0200;00066;15789671G;GARCÍA HERRERA, GUILLEM;2023-02-24;;NAVE 2
0200;00164;25040513H;NOGUEIRA PRIETO, AINA;2025-03-05;;NAVE 2
0200;00074;51625113Z;SERRA NOGUEIRA, RAÚL;2020-12-08;;NAVE 2
0200;00088;25231118E;RIERA CABRERA, FATIMA;2020-01-21;;OFICINA
0200;00229;79042001N;HERRERA SÁNCHEZ, BERTA;2023-05-10;;CENTRAL
0201;00049;89479677B;FONTANA SÁNCHEZ, ELENA;2018-06-27;2026-06-08;OFICINA
0201;00255;79618742X;MARTÍNEZ RIERA, ARNAU;2024-03-12;;NAVE 2
0201;00021;63125474Y;MAS IGLESIAS, ARIADNA;2025-03-02;;OFICINA
0201;00293;37787540H;LÓPEZ FERRER, LAIA;2015-04-06;;OFICINA
0201;00024;70133523N;IGLESIAS SÁNCHEZ, MARC;2021-08-05;;OFICINA
0201;00238;54531252N;CASALS MAS, IKER;2023-10-28;;OFICINA
0201;00301;19509302W;IGLESIAS SOLER, ORIOL;2015-09-25;;CENTRAL
0202;00264;51783338X;DELGADO DURAN, ROGER;2017-03-02;;NAVE 2
0202;00011;86707677H;FERRER CASALS, RAÚL;2019-02-10;;OFICINA
0202;00159;72287035P;ORTEGA SÁNCHEZ, ARNAU;2023-04-29;;OFICINA
0202;00243;83361668Z;CASALS DELGADO, ORIOL;2017-03-08;;CENTRAL
0202;00281;41444478M;NOGUEIRA CASALS, AINA;2024-04-17;;CENTRAL
0202;00238;81982648R;NOGUEIRA RIERA, ALBA;2025-01-09;;OFICINA
0202;00077;18300166R;HERRERA CABRERA, ORIOL;2020-09-30;;NAVE 2
0202;00278;10484920P;FERRER PÉREZ, AINA;2015-08-13;;OFICINA
0260;00191;44228859B;ROCA SERRA, RAÚL;2021-07-07;;CENTRAL
0260;00084;95844640V;SÁNCHEZ RIERA, IKER;2023-07-01;;OFICINA
0260;00040;48535119P;PRIETO SERRA, GUILLEM;2020-05-31;;CENTRAL
0260;00042;49911212B;FONTANA DELGADO, NÚRIA;2021-03-09;;OFICINA
0260;00296;95589384R;PRIETO BOSCH, FERRAN;2018-08-29;;NAVE 2
0260;00298;45008949B;DELGADO LÓPEZ, LAIA;2016-02-27;;OFICINA
0204;00285;93676151W;SERRA RIERA, NÚRIA;2020-08-21;;OFICINA
0204;00237;31267958D;ROCA RIERA, BERTA;2021-08-02;;NAVE 2
0204;00294;35497380A;CABRERA NOGUEIRA, NÚRIA;2022-02-22;;NAVE 2
0204;00231;26666757C;SERRA RIERA, MARC;2023-04-23;;OFICINA
0204;00189;42691622D;GARCÍA HERRERA, ARNAU;2016-07-22;;CENTRAL
0204;00143;67357487G;FONTANA GARCÍA, GUILLEM;2021-12-02;;CENTRAL
0204;00242;18287114A;SÁNCHEZ SÁNCHEZ, IKER;2022-06-23;;OFICINA
0204;00270;65740973T;MAS MARTÍNEZ, GUILLEM;2023-10-11;;OFICINA
0204;00131;35366561N;SERRA GARCÍA, ELENA;2016-02-28;;NAVE 2
0205;00039;96233369T;HERRERA SÁNCHEZ, ORIOL;2019-03-28;;OFICINA
0205;00067;44173796E;NOGUEIRA SERRA, AINA;2016-09-14;;NAVE 2
0205;00024;46895086N;VILA RIERA, IKER;2020-07-15;;OFICINA
0205;00221;20423896G;FONTANA ROCA, ARNAU;2018-04-30;;NAVE 2
0205;00007;60753412Q;PRIETO VILA, AINA;2014-07-07;;CENTRAL
0205;00289;57418564F;CABRERA NOGUEIRA, ELENA;2019-08-19;;NAVE 2
0205;00180;42555738G;RIERA DELGADO, PAU;2014-05-08;;CENTRAL
0206;00031;84440562Y;DURAN CASALS, FERRAN;2022-04-14;;CENTRAL
0206;00124;41137787A;PRIETO ORTEGA, LUCÍA;2022-05-14;;NAVE 2
0206;00213;14783089E;RIERA DELGADO, ARIADNA;2017-02-06;;CENTRAL
0206;00132;39957017K;HERRERA FERRER, ARNAU;2018-09-01;;NAVE 2
0207;00143;12568037H;FERRER PRIETO, FATIMA;2025-04-26;;CENTRAL
0207;00113;76582956C;MARTÍNEZ SERRA, SERGI;2022-02-05;;CENTRAL
0207;00051;77025269W;ROCA GARCÍA, ORIOL;2022-06-30;;CENTRAL
0208;00155;92725054R;SÁNCHEZ FONTANA, ALBA;2020-06-21;;CENTRAL
0208;00261;75663201Y;GARCÍA ORTEGA, MOHAMED;2020-03-02;;OFICINA
0208;00082;47690925K;LÓPEZ FERRER, PAU;2014-11-17;;NAVE 2
0209;00285;93680261D;MARTÍNEZ MARTÍNEZ, ROGER;2019-12-13;;CENTRAL
0209;00052;30534661Q;SOLER DELGADO, PAU;2017-07-08;;CENTRAL
0209;00102;57485819J;MAS SOLER, SERGI;2018-01-10;;OFICINA
0209;00159;26424576F;MAS PRIETO, BERTA;2020-10-17;;NAVE 2
0209;00138;23085377T;CABRERA MARTÍNEZ, BERTA;2014-07-12;;OFICINA
0209;00095;28973727P;DURAN ORTEGA, ORIOL;2015-07-10;;NAVE 2
0209;00302;90068364Q;FONTANA LÓPEZ, ELENA;2025-06-05;;NAVE 2
0209;00291;87352506W;ORTEGA DURAN, ALBA;2024-11-23;;CENTRAL
0209;00139;65918630V;DURAN IGLESIAS, RAÚL;2017-07-15;2020-03-19;CENTRAL
0210;00275;81230182V;IGLESIAS LÓPEZ, LUCÍA;2024-12-25;;NAVE 2
0210;00237;42604067Z;BOSCH IGLESIAS, GUILLEM;2019-12-21;;CENTRAL
0210;00085;72965792D;MARTÍNEZ SOLER, MOHAMED;2018-10-15;;OFICINA
0210;00243;72353335K;NOGUEIRA IGLESIAS, IKER;2022-04-08;;NAVE 2
0210;00267;36970162Z;PÉREZ RIERA, MARC;2019-01-02;;NAVE 2
0210;00023;55671502W;PÉREZ PRIETO, BERTA;2019-10-20;;NAVE 2
0210;00280;51403900S;SERRA SÁNCHEZ, AINA;2019-08-08;;CENTRAL
0211;00081;42053505P;PÉREZ MARTÍNEZ, ALBA;2014-07-31;;NAVE 2
0211;00257;60246393Y;SOLER IGLESIAS, NÚRIA;2020-01-05;;OFICINA
0211;00195;48396451J;HERRERA ORTEGA, ORIOL;2017-09-02;;NAVE 2
0211;00071;80885715X;PÉREZ IGLESIAS, LAIA;2018-09-02;;NAVE 2
0211;00286;99293863V;SOLER IGLESIAS, ALBA;2018-05-25;;CENTRAL
0211;00042;15734545V;VILA MAS, FERRAN;2025-01-22;;CENTRAL
0212;00030;75799318P;DURAN LÓPEZ, ANDREI;2024-05-18;;CENTRAL
0212;00152;48797691R;ROCA CABRERA, ALBA;2017-02-05;;CENTRAL
0212;00088;31979102K;LÓPEZ ROCA, IKER;2018-11-12;2024-08-14;NAVE 2
0212;00053;95948458Z;SOLER LÓPEZ, FERRAN;2017-12-17;;CENTRAL
0212;00283;15887948F;SOLER ORTEGA, IKER;2017-04-25;;OFICINA
0212;00290;13947102A;SOLER SERRA, ELENA;2023-08-08;;NAVE 2
0213;00121;94196389X;DELGADO NOGUEIRA, NÚRIA;2017-04-23;2022-03-03;CENTRAL
0213;00134;69323099B;PRIETO PRIETO, ROGER;2023-01-21;;CENTRAL
0213;00068;98111133D;DURAN ROCA, LUCÍA;2017-12-29;;CENTRAL
